filename,dBA_correction,dBKea_correction,order,colour
0000_2_AP_-5.4dB.wav,0,0.48,1,#6C803A
0005_AP_+0.1dB.wav,0,3.24,2,#7B5C34
0008_W_+5.5dB.wav,0,0.48,3,#AB7C47
0016_W_+7.2dB.wav,0,-0.57,4,#CCAE42
0019_AP_+2.7dB.wav,0,2.49,5,#D73202
0040_W_-2.0dB.wav,0,0.11,6,#272318
0056_1_W_-9.4dB.wav,0,-0.21,7,#D3CDBF
0058_W_-9.5dB.wav,0,0.06,8,#6C803A
0100_W_-0.8dB.wav,0,0.06,9,#7B5C34
0127_W_-3.5dB.wav,0,0.32,10,#AB7C47
27_0141_W_-8.3dB.wav,0,-1.01,11,#CCAE42
29_0011_W_-3.1dB.wav,0,-0.78,12,#D73202
35_0253_W_-1.7dB.wav,0,-0.46,13,#272318
35_0336_W_-3.6dB.wav,0,-0.02,14,#D3CDBF
42_0001_W_+3.0dB.wav,0,0.56,15,#6C803A
42_0004_W_+5.5dB.wav,0,-0.63,16,#7B5C34
42_0007_W_+2.7dB.wav,0,-0.67,17,#AB7C47
44_0003_W_-4.8dB.wav,0,-1.17,18,#CCAE42
44_0014_W_+2.0dB.wav,0,-0.88,19,#D73202
44_0017_W_+1.2dB.wav,0,-0.48,20,#272318
44_0018_W_+4.5dB.wav,0,-0.28,21,#D3CDBF
44_0029_W_+6.3dB.wav,0,-0.68,22,#6C803A
44_0031_W_+6.2dB.wav,0,-0.26,23,#7B5C34
44_0053_W_+7.8dB.wav,0,-0.1,24,#AB7C47
44_0057_W_+5.5dB.wav,0,-0.19,25,#CCAE42
warble_U_-11.8dB.wav,0,0.55,26,#D73202
